train_loss,train_ppl,val_loss,val_ppl,lr
3.938363019825663,51.334498925347006,2.5995019444114553,13.457034014656639,0.00024981662925058516
2.3491650862124387,10.476818831622957,2.2064295333921273,9.083227067593043,0.00024546687974361575
2.053039733416364,7.7915493788877,2.067539105798915,7.905344943287545,0.00023552832588683375
1.886331005988383,6.595126755925108,1.9811190607856073,7.250852591540879,0.00022048201153583626
1.7686848893831608,5.863137614439544,1.9366783165196781,6.935674549995008,0.00020105620532731125
1.6705340788981506,5.315005671662059,1.9053833881903608,6.721984263059839,0.0001781911511691039
1.5889778659653357,4.898739200392407,1.8791940214677418,6.548225005972372,0.00015299355874646615
1.5164856256885137,4.556184886703237,1.86315227087853,6.444018079078501,0.00012668303678571965
1.4522741086609,4.272820332669131,1.855683190363773,6.396066489273239,0.00010053306180157198
1.3978940826866164,4.046669036894614,1.8449042196970322,6.327493712112579,7.580933954673253e-05
1.3516413571967616,3.863762142752058,1.8413131107370755,6.304811743834368,5.370854258036467e-05
1.3170105842304913,3.7322474444506573,1.8393094456770747,6.2921916602657415,3.530038916708434e-05
1.2866052980701965,3.620475236673718,1.840930700368333,6.302401179392352,2.1475866991815495e-05
1.2673757411680804,3.5515202141739475,1.8403757431435825,6.298904586644015,1.2904107755689958e-05
1.2586310120098743,3.5205985297278257,1.8426995682603815,6.313559160068922,1e-05
