epoch,train_loss,val_loss,val_perplexity,learning_rate,epoch_time_sec,cumulative_time,avg_time_per_epoch,loss_improvement,ppl_improvement
1,2.008226092918827,0.5318594664114493,1.7020943551302978,0.00029795419551040833,2.1893014907836914,2.1893014907836914,2.1893014907836914,,
2,0.4740718777850602,0.418474274313348,1.5196412303191968,0.00028192106268097334,2.136967420578003,4.326268911361694,2.163134455680847,-0.11338519209810133,-0.182453124811101
3,0.4228304985874164,0.391188711318535,1.4787375415956727,0.00025159223574386114,2.170067310333252,6.496336221694946,2.165445407231649,-0.027285562994812995,-0.04090368872352412
4,0.3989874287906334,0.3193985867534268,1.3762997904584469,0.0002102543136979454,2.1618213653564453,8.658157587051392,2.164539396762848,-0.0717901245651082,-0.10243775113722586
5,0.37279028079848714,0.33294236244299474,1.395066887905214,0.00016238690182084986,2.1971468925476074,10.855304479598999,2.1710608959198,0.013543775689567938,0.018767097446767078
6,0.3565436942529947,0.28499893094060086,1.3297606065276388,0.00011317717692888012,2.197726249694824,13.053030729293823,2.1755051215489707,-0.047943431502393885,-0.0653062813775751
7,0.3464217821783537,0.27807534458630445,1.3205856924435113,6.795777628163599e-05,2.217294931411743,15.270325660705566,2.1814750943865096,-0.006923586354296407,-0.009174914084127517
8,0.3418752984105037,0.27508466069854565,1.3166421379924191,3.162892359054098e-05,2.171792507171631,17.442118167877197,2.1802647709846497,-0.002990683887758805,-0.003943554451092179
9,0.33343527614415736,0.2656216360395111,1.304241487343427,8.127413744904804e-06,2.223613977432251,19.66573214530945,2.1850813494788275,-0.009463024659034536,-0.012400650648992206
10,0.332427923654229,0.26493656300071977,1.303348292651109,0.0,2.168273687362671,21.83400583267212,2.183400583267212,-0.0006850730387913395,-0.0008931946923178558
